Date / Time,City,Date,Month,Year
2/19/2016 19:32,Santa Rosa,2/19/2016,16-Feb,2016
2/18/2016 19:00,Foresthill,2/18/2016,16-Feb,2016
2/15/2016 18:00,Newport Beach,2/15/2016,16-Feb,2016
2/15/2016 12:50,Santa Rosa,2/15/2016,16-Feb,2016
2/14/2016 22:00,Santa Fe (on ranch),2/14/2016,16-Feb,2016
2/14/2016 22:00,Ran home Santa Fe,2/14/2016,16-Feb,2016
2/14/2016 20:50,Indio,2/14/2016,16-Feb,2016
2/14/2016 19:40,Hayward,2/14/2016,16-Feb,2016
2/14/2016 19:00,Lakewood,2/14/2016,16-Feb,2016
2/14/2016 14:00,South Gate,2/14/2016,16-Feb,2016
2/14/2016 10:45,Newhall,2/14/2016,16-Feb,2016
2/13/2016 22:30,Port Hueneme,2/13/2016,16-Feb,2016
2/13/2016 21:00,Carpenteria,2/13/2016,16-Feb,2016
2/11/2016 11:30,Anaheim,2/11/2016,16-Feb,2016
2/11/2016 7:00,Laguna Beach,2/11/2016,16-Feb,2016
2/11/2016 6:45,Ramona,2/11/2016,16-Feb,2016
2/11/2016 6:45,Costa Mesa,2/11/2016,16-Feb,2016
2/11/2016 6:45,Tustin,2/11/2016,16-Feb,2016
2/11/2016 6:44,Palm Desert,2/11/2016,16-Feb,2016
2/11/2016 6:42,San Diego,2/11/2016,16-Feb,2016
2/11/2016 6:40,Victorville,2/11/2016,16-Feb,2016
2/11/2016 6:40,San Diego,2/11/2016,16-Feb,2016
2/11/2016 6:40,South Gate,2/11/2016,16-Feb,2016
2/11/2016 6:40,Cerritos,2/11/2016,16-Feb,2016
2/11/2016 6:40,Temecula,2/11/2016,16-Feb,2016
2/11/2016 6:37,Santa Clarita,2/11/2016,16-Feb,2016
2/11/2016 6:30,Lompoc,2/11/2016,16-Feb,2016
2/11/2016 6:30,Oxnard,2/11/2016,16-Feb,2016
2/11/2016 6:20,Whittier,2/11/2016,16-Feb,2016
2/11/2016 6:00,Burbank,2/11/2016,16-Feb,2016
2/11/2016 3:45,Salinas,2/11/2016,16-Feb,2016
2/10/2016 6:00,Garden Grove,2/10/2016,16-Feb,2016
2/10/2016 5:23,Riverbank,2/10/2016,16-Feb,2016
2/10/2016 5:20,San Ramon,2/10/2016,16-Feb,2016
2/10/2016 5:20,Arcata,2/10/2016,16-Feb,2016
2/10/2016 5:15,Geyserville,2/10/2016,16-Feb,2016
2/10/2016 3:45,Kingsburg,2/10/2016,16-Feb,2016
2/9/2016 20:15,Perris,2/9/2016,16-Feb,2016
2/8/2016 19:00,Santa Cruz,2/8/2016,16-Feb,2016
2/8/2016 17:00,Hermosa Beach,2/8/2016,16-Feb,2016
2/7/2016 19:40,Antelope,2/7/2016,16-Feb,2016
2/6/2016 21:20,Temecula,2/6/2016,16-Feb,2016
2/6/2016 18:40,Petaluma,2/6/2016,16-Feb,2016
2/5/2016 20:30,Costa Mesa,2/5/2016,16-Feb,2016
2/4/2016 18:15,Woodland Hills,2/4/2016,16-Feb,2016
2/4/2016 17:00,Los Angeles (Venice Beach),2/4/2016,16-Feb,2016
2/4/2016 1:50,Fresno,2/4/2016,16-Feb,2016
2/3/2016 18:25,Salinas,2/3/2016,16-Feb,2016
2/1/2016 22:00,Granite Bay,2/1/2016,16-Feb,2016
2/1/2016 22:00,Los Angeles,2/1/2016,16-Feb,2016
1/29/2016 23:50,Cerritos,1/29/2016,16-Jan,2016
1/29/2016 21:27,Burbank,1/29/2016,16-Jan,2016
1/29/2016 11:20,Indio,1/29/2016,16-Jan,2016
1/26/2016 22:10,Rohnert Park,1/26/2016,16-Jan,2016
1/25/2016 5:45,San Diego,1/25/2016,16-Jan,2016
1/24/2016 23:00,Lake Elsinore,1/24/2016,16-Jan,2016
1/24/2016 2:41,Ridgecrest,1/24/2016,16-Jan,2016
1/23/2016 23:45,Azusa,1/23/2016,16-Jan,2016
1/23/2016 21:20,Long Beach,1/23/2016,16-Jan,2016
1/23/2016 19:07,Concord,1/23/2016,16-Jan,2016
1/23/2016 0:00,Pasadena,1/23/2016,16-Jan,2016
1/21/2016 23:30,Burbank,1/21/2016,16-Jan,2016
1/21/2016 22:10,Maywood,1/21/2016,16-Jan,2016
1/21/2016 22:00,Clayton,1/21/2016,16-Jan,2016
1/21/2016 19:00,Santa Maria,1/21/2016,16-Jan,2016
1/18/2016 23:20,Bakersfield,1/18/2016,16-Jan,2016
1/17/2016 11:00,San Francisco,1/17/2016,16-Jan,2016
1/16/2016 19:30,Sacramento,1/16/2016,16-Jan,2016
1/14/2016 13:50,Bakersfield,1/14/2016,16-Jan,2016
1/14/2016 6:30,Santa Clarita,1/14/2016,16-Jan,2016
1/14/2016 3:15,North Hollywood,1/14/2016,16-Jan,2016
1/13/2016 21:50,Sutherlin,1/13/2016,16-Jan,2016
1/13/2016 20:11,Mecca,1/13/2016,16-Jan,2016
1/11/2016 18:18,Kingsburg,1/11/2016,16-Jan,2016
1/9/2016 20:00,Corona del Mar,1/9/2016,16-Jan,2016
1/8/2016 19:20,Susanville,1/8/2016,16-Jan,2016
1/5/2016 21:18,San Diego,1/5/2016,16-Jan,2016
1/4/2016 21:20,San Diego,1/4/2016,16-Jan,2016
1/4/2016 20:30,Citrus Heights,1/4/2016,16-Jan,2016
1/4/2016 20:30,Orangevale,1/4/2016,16-Jan,2016
1/3/2016 19:05,Chula Vista,1/3/2016,16-Jan,2016
1/3/2016 18:15,Santee,1/3/2016,16-Jan,2016
1/2/2016 3:00,Imperial Beach,1/2/2016,16-Jan,2016
1/1/2016 20:00,Aptos,1/1/2016,16-Jan,2016
1/1/2016 0:20,Sacramento,1/1/2016,16-Jan,2016
1/1/2016 0:15,Sacramento,1/1/2016,16-Jan,2016
1/1/2016 0:00,Elk Grove,1/1/2016,16-Jan,2016
12/31/2015 22:55,Sacramento,12/31/2015,15-Dec,2015
12/31/2015 20:40,Menifee,12/31/2015,15-Dec,2015
12/31/2015 17:30,San Ysidro,12/31/2015,15-Dec,2015
12/30/2015 18:38,Santa Maria,12/30/2015,15-Dec,2015
12/29/2015 22:00,Tehachapi,12/29/2015,15-Dec,2015
12/29/2015 15:05,Walnut Creek,12/29/2015,15-Dec,2015
12/28/2015 23:45,Sacramento,12/28/2015,15-Dec,2015
12/28/2015 22:15,Glendale (La Crecenta,12/28/2015,15-Dec,2015
12/26/2015 17:15,DeLuz/Temecula,12/26/2015,15-Dec,2015
12/24/2015 9:05,Oceanside,12/24/2015,15-Dec,2015
12/24/2015 2:17,Los Angeles,12/24/2015,15-Dec,2015
12/23/2015 21:15,Concord,12/23/2015,15-Dec,2015
12/23/2015 16:30,Toluca Lake,12/23/2015,15-Dec,2015
12/23/2015 4:00,Modesto,12/23/2015,15-Dec,2015
12/22/2015 18:45,Goleta,12/22/2015,15-Dec,2015
12/22/2015 18:30,Menifee,12/22/2015,15-Dec,2015
12/22/2015 18:15,Palm Springs,12/22/2015,15-Dec,2015
12/22/2015 18:15,Bakersfield,12/22/2015,15-Dec,2015
12/22/2015 18:10,Sky Valley,12/22/2015,15-Dec,2015
12/22/2015 18:10,Moorpark,12/22/2015,15-Dec,2015
12/22/2015 18:10,Huntington Beach,12/22/2015,15-Dec,2015
12/22/2015 18:10,Susanville,12/22/2015,15-Dec,2015
12/22/2015 18:08,Desert Hot Springs,12/22/2015,15-Dec,2015
12/22/2015 18:08,Lafayette,12/22/2015,15-Dec,2015
12/22/2015 18:05,Napa,12/22/2015,15-Dec,2015
12/22/2015 18:05,Sonoma,12/22/2015,15-Dec,2015
12/22/2015 18:05,Vacaville,12/22/2015,15-Dec,2015
12/21/2015 18:15,Fairfield,12/21/2015,15-Dec,2015
12/21/2015 7:30,Costa Mesa,12/21/2015,15-Dec,2015
12/18/2015 13:00,Sonoma,12/18/2015,15-Dec,2015
12/17/2015 18:30,Ventura,12/17/2015,15-Dec,2015
12/17/2015 18:00,Petaluma,12/17/2015,15-Dec,2015
12/15/2015 13:30,San Pedro,12/15/2015,15-Dec,2015
12/15/2015 6:30,Otay Mesa,12/15/2015,15-Dec,2015
12/15/2015 6:30,San Diego,12/15/2015,15-Dec,2015
12/14/2015 23:59,San Leandro,12/14/2015,15-Dec,2015
12/14/2015 22:40,San Jose,12/14/2015,15-Dec,2015
12/14/2015 19:00,Antioch,12/14/2015,15-Dec,2015
12/12/2015 18:45,Sacramento,12/12/2015,15-Dec,2015
12/12/2015 9:00,Palm Desert,12/12/2015,15-Dec,2015
12/12/2015 0:00,Aliso Viejo,12/12/2015,15-Dec,2015
12/11/2015 21:19,Costa Mesa,12/11/2015,15-Dec,2015
12/11/2015 18:10,Sacramento,12/11/2015,15-Dec,2015
12/10/2015 17:00,East Los Angeles (Boyle Heights),12/10/2015,15-Dec,2015
12/10/2015 6:00,Lucerne Valley,12/10/2015,15-Dec,2015
12/9/2015 22:50,Rosemead,12/9/2015,15-Dec,2015
12/6/2015 19:45,Tracy,12/6/2015,15-Dec,2015
12/5/2015 21:30,Seal Beach,12/5/2015,15-Dec,2015
12/1/2015 18:00,Montague,12/1/2015,15-Dec,2015
11/30/2015 22:00,Arroyo Grande,11/30/2015,15-Nov,2015
11/28/2015 20:05,Montague,11/28/2015,15-Nov,2015
11/28/2015 14:20,Torrance,11/28/2015,15-Nov,2015
11/28/2015 9:38,Sonoma,11/28/2015,15-Nov,2015
11/27/2015 22:15,Imperial Beach,11/27/2015,15-Nov,2015
11/25/2015 23:32,Loleta,11/25/2015,15-Nov,2015
11/25/2015 19:55,Willits,11/25/2015,15-Nov,2015
11/24/2015 19:30,Sears Point Raceway,11/24/2015,15-Nov,2015
11/24/2015 5:35,Torrance,11/24/2015,15-Nov,2015
11/23/2015 23:20,Los Angeles,11/23/2015,15-Nov,2015
11/23/2015 17:40,Fresno,11/23/2015,15-Nov,2015
11/23/2015 6:15,Orange,11/23/2015,15-Nov,2015
11/22/2015 16:44,San Diego,11/22/2015,15-Nov,2015
11/22/2015 16:15,Rohnert Park,11/22/2015,15-Nov,2015
11/21/2015 18:27,Auburn,11/21/2015,15-Nov,2015
11/21/2015 1:30,Vannuys,11/21/2015,15-Nov,2015
11/20/2015 23:05,sacramento,11/20/2015,15-Nov,2015
11/20/2015 21:30,Rosemead,11/20/2015,15-Nov,2015
11/18/2015 13:50,San Diego,11/18/2015,15-Nov,2015
11/17/2015 19:44,Tustin,11/17/2015,15-Nov,2015
11/17/2015 19:00,Oakley,11/17/2015,15-Nov,2015
11/16/2015 21:00,Ocean Beach,11/16/2015,15-Nov,2015
11/16/2015 6:18,Sacramento,11/16/2015,15-Nov,2015
11/16/2015 4:00,Ripon,11/16/2015,15-Nov,2015
11/15/2015 17:30,Bakersfield,11/15/2015,15-Nov,2015
11/14/2015 18:01,Rosamond,11/14/2015,15-Nov,2015
11/14/2015 18:00,Covina,11/14/2015,15-Nov,2015
11/13/2015 18:00,Willows,11/13/2015,15-Nov,2015
11/13/2015 5:45,Anaheim,11/13/2015,15-Nov,2015
11/11/2015 21:00,Riverside,11/11/2015,15-Nov,2015
11/11/2015 18:26,Daly City,11/11/2015,15-Nov,2015
11/11/2015 18:00,San Anselmo,11/11/2015,15-Nov,2015
11/10/2015 18:30,Los Angeles,11/10/2015,15-Nov,2015
11/10/2015 18:05,Santa Barbara,11/10/2015,15-Nov,2015
11/10/2015 18:00,San Luis Obispo,11/10/2015,15-Nov,2015
11/10/2015 17:00,San Diego,11/10/2015,15-Nov,2015
11/10/2015 16:00,Ventura,11/10/2015,15-Nov,2015
11/8/2015 9:15,Monrovia,11/8/2015,15-Nov,2015
11/8/2015 5:00,Porterville,11/8/2015,15-Nov,2015
11/7/2015 23:20,Huntington Beach,11/7/2015,15-Nov,2015
11/7/2015 19:40,Fresno,11/7/2015,15-Nov,2015
11/7/2015 19:15,Santa Rosa,11/7/2015,15-Nov,2015
11/7/2015 19:00,All over,11/7/2015,15-Nov,2015
11/7/2015 19:00,Escondido,11/7/2015,15-Nov,2015
11/7/2015 19:00,El Cajon,11/7/2015,15-Nov,2015
11/7/2015 19:00,Campbell,11/7/2015,15-Nov,2015
11/7/2015 19:00,Escondido,11/7/2015,15-Nov,2015
11/7/2015 19:00,Murrieta,11/7/2015,15-Nov,2015
11/7/2015 19:00,Santa Cruz,11/7/2015,15-Nov,2015
11/7/2015 18:55,Cotati,11/7/2015,15-Nov,2015
11/7/2015 18:45,Carlsbad,11/7/2015,15-Nov,2015
11/7/2015 18:40,Camarillo,11/7/2015,15-Nov,2015
11/7/2015 18:38,Granite Bay,11/7/2015,15-Nov,2015
11/7/2015 18:30,Sacramento,11/7/2015,15-Nov,2015
11/7/2015 18:30,Bay Area,11/7/2015,15-Nov,2015
11/7/2015 18:30,Fallbrook,11/7/2015,15-Nov,2015
11/7/2015 18:30,Corona,11/7/2015,15-Nov,2015
11/7/2015 18:30,Buellton,11/7/2015,15-Nov,2015
11/7/2015 18:30,Newhall,11/7/2015,15-Nov,2015
11/7/2015 18:30,Palmdale,11/7/2015,15-Nov,2015
11/7/2015 18:30,Menifee,11/7/2015,15-Nov,2015
11/7/2015 18:30,Placerville,11/7/2015,15-Nov,2015
11/7/2015 18:20,La Quinta,11/7/2015,15-Nov,2015
11/7/2015 18:20,Mira Mesa,11/7/2015,15-Nov,2015
11/7/2015 18:20,Turlock,11/7/2015,15-Nov,2015
11/7/2015 18:15,Litchfield,11/7/2015,15-Nov,2015
11/7/2015 18:15,Modesto,11/7/2015,15-Nov,2015
11/7/2015 18:15,Palm Springs,11/7/2015,15-Nov,2015
11/7/2015 18:15,29 Palms,11/7/2015,15-Nov,2015
11/7/2015 18:15,Oceanside,11/7/2015,15-Nov,2015
11/7/2015 18:15,Oceanside,11/7/2015,15-Nov,2015
11/7/2015 18:15,Visalia,11/7/2015,15-Nov,2015
11/7/2015 18:15,La Jolla,11/7/2015,15-Nov,2015
11/7/2015 18:15,Long Beach/Los Angles,11/7/2015,15-Nov,2015
11/7/2015 18:15,La Jolla,11/7/2015,15-Nov,2015
11/7/2015 18:15,Marina del Rey,11/7/2015,15-Nov,2015
11/7/2015 18:15,Folsom,11/7/2015,15-Nov,2015
11/7/2015 18:15,San Pablo,11/7/2015,15-Nov,2015
11/7/2015 18:14,Valley Village,11/7/2015,15-Nov,2015
11/7/2015 18:13,Santa Cruz,11/7/2015,15-Nov,2015
11/7/2015 18:10,Moreno Valley,11/7/2015,15-Nov,2015
11/7/2015 18:10,Chula Vista,11/7/2015,15-Nov,2015
11/7/2015 18:10,Long Beach,11/7/2015,15-Nov,2015
11/7/2015 18:10,Oxnard,11/7/2015,15-Nov,2015
11/7/2015 18:10,Elk Grove,11/7/2015,15-Nov,2015
11/7/2015 18:10,San Diego,11/7/2015,15-Nov,2015
11/7/2015 18:10,Apple Valley,11/7/2015,15-Nov,2015
11/7/2015 18:10,Santa Monica,11/7/2015,15-Nov,2015
11/7/2015 18:10,Lemoore,11/7/2015,15-Nov,2015
11/7/2015 18:10,Poway,11/7/2015,15-Nov,2015
11/7/2015 18:10,South Gate,11/7/2015,15-Nov,2015
11/7/2015 18:10,Huntington Beach,11/7/2015,15-Nov,2015
11/7/2015 18:10,San Diego,11/7/2015,15-Nov,2015
11/7/2015 18:10,Knights Landing,11/7/2015,15-Nov,2015
11/7/2015 18:05,North Hollywood,11/7/2015,15-Nov,2015
11/7/2015 18:05,San Bernardino,11/7/2015,15-Nov,2015
11/7/2015 18:05,Benicia,11/7/2015,15-Nov,2015
11/7/2015 18:05,San Diego,11/7/2015,15-Nov,2015
11/7/2015 18:05,San Jacinto,11/7/2015,15-Nov,2015
11/7/2015 18:05,Oakland,11/7/2015,15-Nov,2015
11/7/2015 18:05,Temecula,11/7/2015,15-Nov,2015
11/7/2015 18:05,Canoga Park,11/7/2015,15-Nov,2015
11/7/2015 18:05,Sylmar,11/7/2015,15-Nov,2015
11/7/2015 18:05,Fremont,11/7/2015,15-Nov,2015
11/7/2015 18:05,Laguna Beach,11/7/2015,15-Nov,2015
11/7/2015 18:05,Napa,11/7/2015,15-Nov,2015
11/7/2015 18:05,Danville,11/7/2015,15-Nov,2015
11/7/2015 18:05,Gilroy,11/7/2015,15-Nov,2015
11/7/2015 18:05,Indio,11/7/2015,15-Nov,2015
